City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,sao joao da barra,-21.6403,-41.0511,22.0,82,0,8.02,BR,1727426911
324,igarka,67.4667,86.5833,3.44,76,100,5.18,RU,1727426913
325,saint-pierre,-21.3393,55.4781,26.82,65,75,3.6,RE,1727426914
326,sirte,31.2089,16.5887,27.1,53,0,1.77,LY,1727426916
327,wick,58.4333,-3.0833,8.03,76,72,7.72,GB,1727426917
328,talavera,15.6167,120.9333,26.64,90,100,3.92,PH,1727426918
329,colonia,50.9333,6.95,15.59,81,75,4.12,DE,1727426920
330,kirakira,-10.4544,161.9205,26.08,87,8,5.44,SB,1727426921
331,san francisco ixhuatan,16.3569,-94.4825,24.47,91,100,0.36,MX,1727426923
332,beloslav,43.1833,27.7,28.81,65,40,4.63,BG,1727426924
333,zhizdra,53.746,34.7395,18.56,61,100,8.0,RU,1727426925
334,tazacorte,28.629,-17.9293,23.54,89,40,4.63,ES,1727426927
335,klyuchi,52.2667,79.1667,9.61,35,100,4.01,RU,1727426928
336,mpongwe,-13.5091,28.155,34.0,11,5,3.07,ZM,1727426929
337,tashtyp,52.7939,89.8983,5.3,54,100,5.21,RU,1727426931
338,san-pedro,4.7485,-6.6363,24.54,93,100,2.63,CI,1727426932
339,wodonga,-36.1167,146.8833,11.65,100,0,0.94,AU,1727426934
340,afif,23.9065,42.9172,35.33,13,2,1.91,SA,1727426935
341,aras-asan,8.8908,126.3033,27.61,81,62,1.86,PH,1727426936
342,n'zeto,-7.2312,12.8666,26.68,68,46,2.88,AO,1727426938
343,oodweyne,9.4092,45.064,31.42,33,64,7.61,SO,1727426939
344,castillos,-34.1667,-53.8333,11.2,96,2,2.43,UY,1727426941
345,alotau,-10.3069,150.4462,24.68,95,58,1.43,PG,1727426942
346,werne,51.6645,7.6342,15.08,69,20,7.72,DE,1727426943
347,majene,-3.5403,118.9707,27.77,75,76,2.37,ID,1727426946
348,yinchuan,38.4681,106.2731,27.0,44,88,2.14,CN,1727426947
349,myeik,12.4333,98.6,29.55,72,100,1.43,MM,1727426949
350,faya-largeau,17.9257,19.1043,34.94,20,0,9.77,TD,1727426950
